,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,rooms_per_household,bedrooms_per_room,population_per_household,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
0,-122.23,37.88,32.67229426642248,8.208605739831867,5.645033244377802,7.675270729038721,5.7050343231220095,2.7287230857663975,61.00371344474541,3.1131494890582396,-2.9572604562330014,0.8769147840994318,0,0,0,1,0
1,-122.22,37.86,17.07047637055554,11.413717347079801,8.717972006563178,11.487953111998559,8.974699264597005,2.7240707226319922,58.03679945385059,2.8481097610423425,-2.82216678269023,0.7074073709947646,0,0,0,1,0
8,-122.26,37.84,33.4349433561374,9.799169086349394,7.9541362302120415,10.09913293709712,7.961035728758785,0.797669961972391,52.585885186705205,2.0622412183090026,-1.8116752046266416,0.6713293593625129,0,0,0,1,0
15,-122.26,37.85,39.491211723208174,8.560402489304138,6.7228073159219734,9.055987084907072,6.750996557970169,0.822821787289195,47.360432716559416,2.038907850697046,-1.8642387497148756,0.9052498807959439,0,0,0,1,0
18,-122.26,37.84,39.491211723208174,9.59708836253593,7.399370780971335,9.717413944066651,7.430797768024588,0.7460338424793319,48.67226979487381,2.506252568185276,-2.271722834329432,0.8081159068331374,0,0,0,1,0
20,-122.27,37.85,31.908291024388724,7.979884765197717,6.125904679060221,8.092188342369639,6.088904727228765,0.316845085709282,47.902540450512355,2.164227465756074,-1.9196625938271503,0.844960048321685,0,0,0,1,0
21,-122.27,37.85,33.4349433561374,9.125372791341608,7.090736371062883,9.595916033577167,7.229603699301294,0.5731953905758871,48.74549164221551,2.1440798657520936,-2.085643628110089,0.8709863810537749,0,0,0,1,0
25,-122.28,37.85,32.67229426642248,7.497157675200947,5.581318215966446,7.648315868533527,5.626329070028559,0.9714468875152682,44.700351561031674,2.1518341815786184,-2.0363117032452376,0.9130064564441184,0,0,0,1,0
26,-122.28,37.85,38.738278031491454,8.573458216588637,6.515471240404048,8.801346053591239,6.607300133890756,0.9996296015247417,43.38074612810954,2.252312801260958,-2.1544322712140915,0.8715012815413304,0,0,0,1,0
28,-122.28,37.84,39.491211723208174,9.48643129682556,7.512628106492378,9.974168029819989,7.612689569471302,0.5254789085666111,44.82745221987905,2.1103091111842733,-1.9855421414270187,0.8186292676765805,0,0,0,1,0
30,-122.28,37.84,38.738278031491454,9.360499142206878,7.3737475115624,9.45603480157705,7.277434157754922,0.7080987590900549,45.98198119237908,2.3949621887171495,-2.0091767545050705,0.7777699011168125,0,0,0,1,0
32,-122.27,37.84,37.98422590422581,9.365227580704849,7.245826197941928,9.78597201775774,7.098914004540727,0.6272596466170668,44.962183883248734,2.6602854324587746,-2.182381823542662,1.032725140621158,0,0,0,1,0
33,-122.27,37.83,38.738278031491454,9.139942083587114,7.0868439912644225,9.202252379615512,7.072320908128515,0.3303669780639594,44.46073869784721,2.3791599022916836,-2.1090888650747037,0.7811505182834524,0,0,0,1,0
34,-122.27,37.83,40.24305096068541,9.86399681246271,7.7375054952334805,10.181706667858938,7.801847964939061,1.129468729900216,44.89949321570867,2.3550006204358307,-2.1592536239416784,0.802211574998866,0,0,0,1,0
35,-122.27,37.83,38.738278031491454,8.680219737720257,6.717836038796302,8.686604643540997,6.750996557970169,0.4147026166024673,43.7219892468136,2.198245978115064,-2.018710115860319,0.7280667308217795,0,0,0,1,0
41,-122.26,37.83,40.24305096068541,8.298160236878651,6.855696347646154,8.509895980378337,6.666389742417305,0.2582717146932051,48.078323928875584,1.8127196787803048,-1.4024007378681107,0.6930203607292761,0,0,0,1,0
46,-122.26,37.83,39.491211723208174,8.566944065606656,6.904845350334467,8.828296380997037,6.956407491482991,0.7664225633526067,47.54367211167158,1.7843474220183868,-1.6473733580888383,0.671073416944549,0,0,0,1,0
47,-122.27,37.82,34.196272856783104,8.40468689598032,6.860231397177034,8.647939776060328,6.689407231815591,0.5871927527437022,47.17454700170561,1.9180898499003438,-1.51528948593158,0.747060060475147,0,0,0,1,0
51,-122.27,37.82,34.196272856783104,9.322159686284815,7.40254386777309,9.85056789324974,7.387415505231402,0.42819696591284623,43.38074612810954,2.1927880164724733,-1.9262912817071818,0.8942314108535162,0,0,0,1,0
64,-122.3,37.81,37.98422590422581,8.12048655294032,6.110951892733271,8.017494434607729,5.779759088612316,1.0652786847994637,41.1067131765455,2.8434977367819934,-2.120596120412146,1.0000334942728295,0,0,0,1,0
70,-122.29,37.81,21.045321857171547,8.012062290844682,5.865920683593106,8.017494434607729,5.71594307513058,0.6112599971428935,42.17018385863906,2.7775297290511576,-2.323737953717067,1.0393317372576318,0,0,0,1,0
72,-122.29,37.81,38.738278031491454,8.148144584061813,6.26756362350507,8.654435898610547,5.965464905053977,0.5971007038644064,41.29096692315132,2.588764638712566,-1.9442712583852295,1.1875704845223531,0,0,0,1,0
